Transaction,Item
1,Deep Purple
1,Black Sabbath
1,Led Zeppelin
2,Kendrick Lamar
2,Kanye West
2,Scorpions
3,Kendrick Lamar
3,"Tyler, the Creator"
3,2pac
4,Queen
4,"Tyler, the Creator"
4,Led Zeppelin
4,Kendrick Lamar
5,Kendrick Lamar
5,"Tyler, the Creator"
5,Jay-Z
6,2pac
6,Scorpions
6,Kendrick Lamar
7,Kendrick Lamar
7,Scorpions
7,2pac
7,Kanye West
8,Queen
8,"Tyler, the Creator"
9,Kendrick Lamar
9,"Tyler, the Creator"
10,Kanye West
11,Kendrick Lamar
11,Kanye West
11,Black Sabbath
11,Jay-Z
12,2pac
12,"Tyler, the Creator"
12,Kendrick Lamar
13,Queen
13,Led Zeppelin
13,Black Sabbath
14,Kendrick Lamar
14,Led Zeppelin
14,Deep Purple
15,2pac
16,Kanye West
16,"Tyler, the Creator"
16,Led Zeppelin
16,2pac
17,2pac
17,Kendrick Lamar
18,Led Zeppelin
18,Kanye West
18,Deep Purple
19,Deep Purple
19,Black Sabbath
20,"Tyler, the Creator"
20,Queen
20,2pac
20,Kendrick Lamar
21,Deep Purple
21,Queen
21,Kendrick Lamar
22,Queen
22,Led Zeppelin
23,Deep Purple
24,Black Sabbath
24,Kanye West
24,"Tyler, the Creator"
25,Queen
26,Led Zeppelin
27,Deep Purple
27,Queen
27,Black Sabbath
28,Queen
28,Kanye West
28,Black Sabbath
28,Led Zeppelin
29,"Tyler, the Creator"
29,Kendrick Lamar
30,Kendrick Lamar
30,Kanye West
30,"Tyler, the Creator"
31,Kanye West
32,"Tyler, the Creator"
32,Jay-Z
32,Kendrick Lamar
33,2pac
34,Kanye West
34,"Tyler, the Creator"
34,Deep Purple
35,Deep Purple
35,Queen
36,Kanye West
36,"Tyler, the Creator"
36,2pac
37,Queen
37,"Tyler, the Creator"
37,Led Zeppelin
37,Deep Purple
38,Led Zeppelin
38,Queen
38,Black Sabbath
39,Led Zeppelin
39,Scorpions
39,Deep Purple
40,"Tyler, the Creator"
41,"Tyler, the Creator"
42,Queen
43,Kendrick Lamar
43,Led Zeppelin
44,Kendrick Lamar
45,Queen
45,Kanye West
45,"Tyler, the Creator"
45,Led Zeppelin
46,"Tyler, the Creator"
46,Kanye West
46,2pac
47,Kendrick Lamar
47,Queen
47,"Tyler, the Creator"
47,2pac
48,Black Sabbath
48,Queen
48,Led Zeppelin
49,Deep Purple
50,"Tyler, the Creator"
50,Deep Purple
51,Queen
51,Scorpions
51,Black Sabbath
52,Deep Purple
52,"Tyler, the Creator"
52,Led Zeppelin
53,Led Zeppelin
53,Black Sabbath
54,Black Sabbath
54,Led Zeppelin
54,2pac
54,Kendrick Lamar
55,Led Zeppelin
55,Scorpions
56,Kendrick Lamar
56,Queen
56,Led Zeppelin
56,Black Sabbath
57,Queen
57,Deep Purple
58,Deep Purple
58,Queen
58,Kendrick Lamar
59,Led Zeppelin
60,Led Zeppelin
61,"Tyler, the Creator"
61,Kendrick Lamar
62,"Tyler, the Creator"
62,Kendrick Lamar
63,Kendrick Lamar
63,2pac
63,Jay-Z
64,Black Sabbath
64,Led Zeppelin
64,Kendrick Lamar
65,Deep Purple
65,Led Zeppelin
65,2pac
66,Kanye West
66,Queen
66,2pac
66,Scorpions
67,Queen
67,Black Sabbath
68,Deep Purple
68,Queen
68,Kanye West
69,Black Sabbath
69,Queen
70,Led Zeppelin
71,Queen
71,Black Sabbath
72,Led Zeppelin
72,"Tyler, the Creator"
73,Kanye West
74,Queen
74,Black Sabbath
75,Deep Purple
75,Kanye West
75,Led Zeppelin
76,Kendrick Lamar
77,"Tyler, the Creator"
77,Kanye West
77,Kendrick Lamar
78,Kanye West
78,"Tyler, the Creator"
78,Led Zeppelin
78,2pac
79,Black Sabbath
79,Queen
80,Kendrick Lamar
80,"Tyler, the Creator"
80,Black Sabbath
81,Led Zeppelin
81,Scorpions
81,Queen
82,Led Zeppelin
82,Queen
83,Black Sabbath
83,Queen
83,Led Zeppelin
83,Kendrick Lamar
84,2pac
84,"Tyler, the Creator"
85,"Tyler, the Creator"
85,Deep Purple
86,Deep Purple
86,Kendrick Lamar
87,Queen
87,"Tyler, the Creator"
87,Led Zeppelin
88,Kendrick Lamar
89,Led Zeppelin
89,Queen
90,Black Sabbath
90,Queen
90,Led Zeppelin
91,Kanye West
91,Scorpions
91,2pac
91,Jay-Z
92,Deep Purple
92,Scorpions
92,Queen
93,Led Zeppelin
93,"Tyler, the Creator"
94,"Tyler, the Creator"
94,Kendrick Lamar
95,Queen
95,Led Zeppelin
95,Deep Purple
96,"Tyler, the Creator"
96,Queen
97,"Tyler, the Creator"
97,Black Sabbath
98,Deep Purple
98,Queen
98,Jay-Z
99,Queen
99,"Tyler, the Creator"
99,Black Sabbath
100,Black Sabbath
100,Queen
101,Kanye West
101,"Tyler, the Creator"
101,Kendrick Lamar
102,Queen
102,Scorpions
102,Black Sabbath
102,Kendrick Lamar
103,Kendrick Lamar
103,Kanye West
103,2pac
104,Scorpions
104,Queen
105,Black Sabbath
105,Queen
105,Deep Purple
105,Kendrick Lamar
106,Queen
106,"Tyler, the Creator"
107,2pac
107,"Tyler, the Creator"
107,Kendrick Lamar
108,Scorpions
108,Kendrick Lamar
109,"Tyler, the Creator"
109,Kanye West
109,Jay-Z
110,Deep Purple
110,Kanye West
110,2pac
111,Scorpions
112,"Tyler, the Creator"
113,Kendrick Lamar
113,Queen
113,"Tyler, the Creator"
114,Black Sabbath
114,Kanye West
114,Queen
115,Queen
115,2pac
116,Scorpions
116,Queen
117,Queen
118,Black Sabbath
118,Queen
119,Kendrick Lamar
120,Kendrick Lamar
120,"Tyler, the Creator"
120,2pac
121,Black Sabbath
121,"Tyler, the Creator"
121,2pac
122,Kendrick Lamar
122,Kanye West
122,2pac
123,Kanye West
123,"Tyler, the Creator"
123,Led Zeppelin
124,Kanye West
124,Kendrick Lamar
125,Queen
125,Led Zeppelin
126,Black Sabbath
126,Deep Purple
127,Queen
128,"Tyler, the Creator"
128,Kanye West
129,Deep Purple
129,Black Sabbath
129,Led Zeppelin
130,Black Sabbath
130,Led Zeppelin
131,Led Zeppelin
131,2pac
132,Kanye West
132,Queen
132,"Tyler, the Creator"
132,Deep Purple
133,Deep Purple
134,Queen
135,Led Zeppelin
135,Scorpions
135,Black Sabbath
136,"Tyler, the Creator"
136,Jay-Z
136,Kendrick Lamar
137,"Tyler, the Creator"
138,Queen
138,Deep Purple
138,Led Zeppelin
138,Kendrick Lamar
139,Black Sabbath
140,Jay-Z
141,Deep Purple
141,Queen
141,Scorpions
142,Queen
142,Led Zeppelin
143,Black Sabbath
143,Queen
143,Led Zeppelin
143,Deep Purple
144,Queen
144,Black Sabbath
145,Queen
145,Scorpions
145,"Tyler, the Creator"
146,Queen
146,Kanye West
146,Led Zeppelin
146,Scorpions
147,Black Sabbath
147,Queen
148,"Tyler, the Creator"
149,Queen
149,Scorpions
150,Deep Purple
150,Queen
150,Led Zeppelin
150,Kendrick Lamar
151,Kanye West
151,Queen
151,Jay-Z
152,Jay-Z
153,Black Sabbath
154,Led Zeppelin
154,Queen
154,Deep Purple
155,2pac
155,Led Zeppelin
156,Queen
156,Scorpions
156,Led Zeppelin
157,Deep Purple
157,Kendrick Lamar
158,Kendrick Lamar
159,Kendrick Lamar
159,Kanye West
159,Led Zeppelin
159,2pac
160,Kanye West
160,"Tyler, the Creator"
160,Deep Purple
161,Black Sabbath
161,Kanye West
161,Deep Purple
162,2pac
162,Kendrick Lamar
163,Queen
163,Led Zeppelin
164,Kendrick Lamar
165,Jay-Z
165,2pac
166,"Tyler, the Creator"
167,Black Sabbath
167,Led Zeppelin
