Transaction,Item
1,Queen
1,Kendrick Lamar
2,Black Sabbath
3,Led Zeppelin
3,Kendrick Lamar
4,Queen
4,Black Sabbath
5,Kendrick Lamar
6,Kendrick Lamar
6,"Tyler, the Creator"
7,Black Sabbath
7,Kendrick Lamar
8,Queen
8,Jay-Z
8,Black Sabbath
9,Black Sabbath
9,Scorpions
10,Deep Purple
10,Queen
11,Scorpions
12,Queen
12,Led Zeppelin
12,Kanye West
12,Kendrick Lamar
13,Black Sabbath
14,Black Sabbath
14,Led Zeppelin
15,Led Zeppelin
16,Led Zeppelin
16,Queen
16,Kendrick Lamar
17,Scorpions
17,Led Zeppelin
17,Queen
18,Queen
18,Led Zeppelin
19,Kanye West
19,"Tyler, the Creator"
20,Queen
20,Kendrick Lamar
20,Deep Purple
20,2pac
21,Kendrick Lamar
21,Kanye West
22,Led Zeppelin
22,Queen
22,Kendrick Lamar
22,Scorpions
23,Scorpions
23,Deep Purple
24,Black Sabbath
24,Queen
25,Deep Purple
25,Led Zeppelin
25,"Tyler, the Creator"
25,Scorpions
26,Queen
26,"Tyler, the Creator"
26,Scorpions
27,Deep Purple
27,Kanye West
28,Deep Purple
28,Led Zeppelin
28,Jay-Z
29,Jay-Z
29,Black Sabbath
30,Led Zeppelin
30,"Tyler, the Creator"
30,Kendrick Lamar
30,Scorpions
31,Scorpions
31,Black Sabbath
32,Black Sabbath
32,Led Zeppelin
32,Scorpions
33,Queen
33,Scorpions
33,Deep Purple
33,Led Zeppelin
34,Kendrick Lamar
35,Queen
35,Kendrick Lamar
35,Black Sabbath
36,Kanye West
36,Queen
37,Queen
37,Scorpions
38,Scorpions
38,Led Zeppelin
38,Queen
39,Scorpions
39,Kendrick Lamar
39,Black Sabbath
40,Kendrick Lamar
40,Kanye West
40,"Tyler, the Creator"
41,Scorpions
41,Black Sabbath
41,Deep Purple
41,Led Zeppelin
42,Black Sabbath
42,Kendrick Lamar
42,Queen
42,Scorpions
43,Scorpions
43,Kendrick Lamar
44,Led Zeppelin
45,Queen
46,Kendrick Lamar
46,"Tyler, the Creator"
47,Kanye West
47,Kendrick Lamar
47,2pac
48,Kanye West
49,Scorpions
49,Led Zeppelin
49,2pac
49,Queen
50,Queen
50,Scorpions
51,Deep Purple
51,Queen
52,Kendrick Lamar
53,Kanye West
53,2pac
54,Queen
54,2pac
54,Kendrick Lamar
55,Kendrick Lamar
55,"Tyler, the Creator"
55,Jay-Z
56,Black Sabbath
56,Deep Purple
56,Queen
57,Jay-Z
57,Kanye West
57,Queen
57,Scorpions
58,Queen
58,Scorpions
59,2pac
59,Kanye West
59,Kendrick Lamar
59,Queen
60,Scorpions
60,Queen
60,Jay-Z
61,Jay-Z
61,Kanye West
62,Queen
62,"Tyler, the Creator"
62,Black Sabbath
63,"Tyler, the Creator"
63,Kanye West
63,Kendrick Lamar
63,Black Sabbath
64,"Tyler, the Creator"
64,Led Zeppelin
64,Black Sabbath
65,"Tyler, the Creator"
65,Queen
65,Jay-Z
66,Black Sabbath
67,Kanye West
67,Led Zeppelin
67,Kendrick Lamar
67,Black Sabbath
68,"Tyler, the Creator"
68,Led Zeppelin
68,Kendrick Lamar
69,Led Zeppelin
69,Kendrick Lamar
70,Scorpions
70,Queen
71,Led Zeppelin
71,Scorpions
72,"Tyler, the Creator"
73,Led Zeppelin
73,Queen
73,Scorpions
74,Deep Purple
74,Led Zeppelin
74,Kendrick Lamar
75,Queen
75,Scorpions
75,Kendrick Lamar
75,Black Sabbath
76,Kanye West
76,"Tyler, the Creator"
76,Kendrick Lamar
77,Jay-Z
77,Kendrick Lamar
78,Led Zeppelin
78,Jay-Z
78,Scorpions
79,Deep Purple
79,Kanye West
80,Black Sabbath
80,Queen
81,Scorpions
81,Led Zeppelin
81,Queen
81,Jay-Z
82,Kanye West
82,Kendrick Lamar
83,Queen
83,Kendrick Lamar
84,Queen
84,Kanye West
84,2pac
85,Jay-Z
85,"Tyler, the Creator"
85,2pac
86,Kendrick Lamar
86,Kanye West
87,Black Sabbath
87,Led Zeppelin
88,Kendrick Lamar
88,"Tyler, the Creator"
89,Queen
89,Deep Purple
89,Led Zeppelin
90,Scorpions
90,Queen
91,Kendrick Lamar
91,2pac
92,Queen
92,Kanye West
92,"Tyler, the Creator"
93,Queen
94,"Tyler, the Creator"
94,2pac
95,Kendrick Lamar
95,Kanye West
95,Jay-Z
96,"Tyler, the Creator"
96,Queen
96,Jay-Z
97,Scorpions
97,Black Sabbath
98,Kendrick Lamar
98,Scorpions
99,Queen
99,Deep Purple
100,Queen
101,Kendrick Lamar
102,Queen
102,Deep Purple
103,Kendrick Lamar
103,Scorpions
104,Queen
104,"Tyler, the Creator"
105,Kanye West
106,Queen
107,Scorpions
108,"Tyler, the Creator"
108,Kanye West
108,Kendrick Lamar
108,Led Zeppelin
109,Kendrick Lamar
110,"Tyler, the Creator"
110,Queen
110,2pac
111,Queen
111,Kanye West
111,Kendrick Lamar
112,Deep Purple
112,Queen
113,Led Zeppelin
113,Scorpions
113,Black Sabbath
114,Queen
115,"Tyler, the Creator"
115,Queen
116,Kendrick Lamar
117,Kanye West
117,Kendrick Lamar
118,Led Zeppelin
118,Black Sabbath
119,Kendrick Lamar
119,Kanye West
120,Queen
120,Led Zeppelin
120,Black Sabbath
121,Kanye West
122,Jay-Z
122,"Tyler, the Creator"
123,2pac
123,Kanye West
123,Scorpions
124,Black Sabbath
125,Kanye West
125,"Tyler, the Creator"
125,Scorpions
126,Led Zeppelin
126,Black Sabbath
126,Queen
126,Scorpions
127,Scorpions
127,Kanye West
127,Kendrick Lamar
128,"Tyler, the Creator"
128,Scorpions
129,Kendrick Lamar
129,Led Zeppelin
130,Kendrick Lamar
130,Kanye West
130,"Tyler, the Creator"
130,Queen
131,Queen
132,Kanye West
132,"Tyler, the Creator"
133,Queen
133,Led Zeppelin
133,Black Sabbath
134,Kanye West
134,Kendrick Lamar
134,Jay-Z
135,2pac
136,Kendrick Lamar
136,Kanye West
137,Kanye West
137,Led Zeppelin
137,"Tyler, the Creator"
138,Kendrick Lamar
138,Kanye West
138,"Tyler, the Creator"
139,Black Sabbath
140,Kanye West
140,"Tyler, the Creator"
140,Kendrick Lamar
141,Kendrick Lamar
141,"Tyler, the Creator"
142,Kanye West
143,Queen
143,Led Zeppelin
143,Kendrick Lamar
144,Led Zeppelin
144,Queen
144,Scorpions
145,Black Sabbath
145,"Tyler, the Creator"
145,Kendrick Lamar
145,Scorpions
146,Kanye West
147,Jay-Z
147,Kanye West
148,Queen
148,Black Sabbath
148,Scorpions
149,"Tyler, the Creator"
149,2pac
149,Scorpions
150,Queen
150,Led Zeppelin
151,Led Zeppelin
151,Deep Purple
151,Kanye West
152,Scorpions
152,Deep Purple
152,Jay-Z
152,Led Zeppelin
153,Kanye West
153,"Tyler, the Creator"
154,Queen
154,Scorpions
155,Queen
155,Led Zeppelin
155,Kanye West
156,Scorpions
156,Led Zeppelin
156,Black Sabbath
157,Queen
157,Kanye West
158,Led Zeppelin
158,Kendrick Lamar
158,Queen
159,"Tyler, the Creator"
160,Kendrick Lamar
161,Led Zeppelin
162,Kendrick Lamar
162,2pac
163,Kendrick Lamar
163,Kanye West
163,Queen
164,Scorpions
164,Deep Purple
165,Kendrick Lamar
165,Kanye West
166,Kanye West
166,"Tyler, the Creator"
166,Black Sabbath
167,Deep Purple
168,Scorpions
168,"Tyler, the Creator"
168,Queen
169,Kanye West
170,2pac
171,"Tyler, the Creator"
171,Kanye West
171,Kendrick Lamar
171,Jay-Z
172,Queen
172,Kanye West
173,Led Zeppelin
173,Queen
173,2pac
174,2pac
174,"Tyler, the Creator"
174,Queen
174,Jay-Z
175,Scorpions
175,Led Zeppelin
175,"Tyler, the Creator"
175,Queen
176,Queen
176,Jay-Z
176,Scorpions
177,Scorpions
177,Led Zeppelin
177,Jay-Z
178,Led Zeppelin
179,Black Sabbath
180,"Tyler, the Creator"
180,Led Zeppelin
180,Kanye West
180,Jay-Z
181,Led Zeppelin
181,Queen
181,Scorpions
182,Scorpions
182,"Tyler, the Creator"
183,Kanye West
183,Kendrick Lamar
184,Kanye West
184,Led Zeppelin
185,Queen
185,Kanye West
186,Queen
186,Led Zeppelin
186,Black Sabbath
187,2pac
187,Jay-Z
188,Scorpions
188,"Tyler, the Creator"
188,Queen
189,Queen
189,Led Zeppelin
189,Scorpions
190,Deep Purple
190,Queen
190,Scorpions
191,Scorpions
192,2pac
192,Queen
193,Jay-Z
193,Led Zeppelin
193,Kendrick Lamar
194,Scorpions
194,Queen
195,Jay-Z
196,Kanye West
196,Deep Purple
196,Kendrick Lamar
196,Scorpions
197,Kanye West
197,Kendrick Lamar
197,Queen
198,Kanye West
198,Deep Purple
198,"Tyler, the Creator"
199,Kanye West
199,Deep Purple
199,Kendrick Lamar
199,Led Zeppelin
200,Kendrick Lamar
201,Led Zeppelin
201,Kanye West
202,"Tyler, the Creator"
202,Kendrick Lamar
203,Led Zeppelin
203,Queen
204,Queen
204,Scorpions
205,2pac
205,Kanye West
205,"Tyler, the Creator"
206,Deep Purple
206,"Tyler, the Creator"
206,Queen
206,Black Sabbath
207,Queen
208,Jay-Z
209,Queen
209,Kanye West
209,"Tyler, the Creator"
209,Scorpions
210,Kanye West
210,Kendrick Lamar
211,Scorpions
211,Queen
212,Deep Purple
213,Scorpions
213,Kendrick Lamar
214,2pac
214,Led Zeppelin
214,"Tyler, the Creator"
214,Scorpions
215,Kendrick Lamar
215,Led Zeppelin
216,Queen
216,Black Sabbath
217,"Tyler, the Creator"
217,Kendrick Lamar
218,Queen
219,Scorpions
219,Led Zeppelin
219,"Tyler, the Creator"
219,Queen
220,Kendrick Lamar
220,Black Sabbath
221,Kendrick Lamar
222,Kanye West
222,"Tyler, the Creator"
222,Kendrick Lamar
223,Kendrick Lamar
224,Jay-Z
224,Deep Purple
224,"Tyler, the Creator"
224,Kendrick Lamar
225,Deep Purple
226,Jay-Z
226,2pac
226,Kendrick Lamar
227,Jay-Z
227,Deep Purple
228,Queen
