Количество моделей в ансамбле,Тип обучения,Значение Rand индекса
5,С учителем,0.7604303369224464
5,Без учителя,0.767615295983556
6,С учителем,0.7677530448504488
6,Без учителя,0.7666506899817087
7,С учителем,0.7495501780727095
7,Без учителя,0.7492115378596483
8,С учителем,0.7513034281817077
8,Без учителя,0.7633634597565867
9,С учителем,0.7597761662798053
9,Без учителя,0.7595704528134615
10,С учителем,0.7602521004427616
10,Без учителя,0.7591638480009492
11,С учителем,0.7651424581676526
11,Без учителя,0.759729673762644
12,С учителем,0.7663085923994651
12,Без учителя,0.7663046801132852
13,С учителем,0.7664361511256103
13,Без учителя,0.7674659922249226
14,С учителем,0.7649403840372901
14,Без учителя,0.766202869689208
15,С учителем,0.7597569687825039
15,Без учителя,0.7638792446485384
